"","ID","Name","CountryCode","District","Population","lon","lat"
"533",796,"Baguio","PHL","CAR",252386,120.5960071,16.4023332
"534",797,"Batangas","PHL","Southern Tagalog",247588,121.1312012,13.9450336
"535",798,"Cainta","PHL","Southern Tagalog",242511,121.114876,14.5864844
"536",799,"San Pedro","PHL","Southern Tagalog",231403,-118.2922461,33.7360619
"537",800,"Navotas","PHL","National Capital Reg",230403,120.9398467,14.6714904
"538",801,"Cabanatuan","PHL","Central Luzon",222859,120.973393,15.4865047
"541",804,"Lapu-Lapu","PHL","Central Visayas",217019,123.997295,10.2661822
"542",805,"San Pablo","PHL","Southern Tagalog",207927,-122.3455263,37.9621457
"543",807,"Taytay","PHL","Southern Tagalog",198183,121.1360819,14.5585549
"544",808,"Lucena","PHL","Southern Tagalog",196075,-4.4961008,37.4129332
"547",811,"Binangonan","PHL","Southern Tagalog",187691,121.195743,14.4765477
"549",813,"Tagum","PHL","Southern Mindanao",179531,125.8094242,7.448212
"550",814,"Tacloban","PHL","Eastern Visayas",178639,124.9616867,11.2543388
"551",815,"Malolos","PHL","Central Luzon",175291,120.8160376,14.8527393
"552",816,"Mabalacat","PHL","Central Luzon",171045,120.5744387,15.2228709
"554",818,"Meycauayan","PHL","Central Luzon",163037,120.9739288,14.7498856
"555",819,"Puerto Princesa","PHL","Southern Tagalog",161912,118.78551,9.9672163
"556",820,"Legazpi","PHL","Bicol",157010,123.7437995,13.1390621
"558",822,"Ormoc","PHL","Eastern Visayas",154297,124.6192702,11.0384275
"559",823,"San Carlos","PHL","Ilocos",154264,-122.2605222,37.5071591
"560",824,"Kabankalan","PHL","Western Visayas",149769,122.8535755,9.9134117
"561",825,"Talisay","PHL","Central Visayas",148110,123.8299639,10.2569872
"562",826,"Valencia","PHL","Northern Mindanao",147924,-0.3762881,39.4699075
"564",828,"Santa Maria","PHL","Central Luzon",144282,-120.4357191,34.9530337
"565",829,"Pagadian","PHL","Western Mindanao",142515,123.4343445,7.8397033
"566",830,"Cadiz","PHL","Western Visayas",141954,-6.2885962,36.5270612
"567",831,"Bago","PHL","Western Visayas",141721,96.4663286,17.3220711
"568",832,"Toledo","PHL","Central Visayas",141174,-83.5378674,41.6528052
"569",833,"Naga","PHL","Bicol",137810,-72.4771318,41.6175079
"570",834,"San Mateo","PHL","Southern Tagalog",135603,-122.3255254,37.5629917
"571",835,"Panabo","PHL","Southern Mindanao",133950,125.6841178,7.3087068
"572",836,"Koronadal","PHL","Southern Mindanao",133786,124.8471625,6.4973963
"574",838,"Dagupan","PHL","Ilocos",130328,120.3333124,16.0432998
"575",839,"Sagay","PHL","Western Visayas",129765,123.408176,10.8783445
"576",840,"Roxas","PHL","Western Visayas",126352,122.740723,11.5528816
"578",842,"Digos","PHL","Southern Mindanao",125171,125.352398,6.7575087
"579",843,"San Miguel","PHL","Central Luzon",123824,-100.745235,20.9144491
"580",844,"Malaybalay","PHL","Northern Mindanao",123672,125.1276536,8.1306038
"581",845,"Tuguegarao","PHL","Cagayan Valley",120645,121.7270206,17.6131813
"582",846,"Ilagan","PHL","Cagayan Valley",119990,122.0101024,17.1263233
"583",847,"Baliuag","PHL","Central Luzon",119675,120.8843434,14.9672031
"584",848,"Surigao","PHL","Caraga",118534,125.5137674,9.7571312
"585",849,"San Carlos","PHL","Western Visayas",118259,-122.2605222,37.5071591
"586",850,"San Juan del Monte","PHL","National Capital Reg",117680,121.0368893,14.5994146
"587",851,"Tanauan","PHL","Southern Tagalog",117539,121.1473558,14.0835075
"588",852,"Concepcion","PHL","Central Luzon",115171,-73.0443904,-36.8201352
"589",853,"Rodriguez (Montalban)","PHL","Southern Tagalog",115167,121.2397438,14.8000195
"591",855,"Malasiqui","PHL","Ilocos",113190,120.4588059,15.9195445
"592",856,"General Mariano Alvarez","PHL","Southern Tagalog",112446,121.01373,14.3066935
"594",858,"Hagonoy","PHL","Central Luzon",111425,120.734995,14.791933
"596",860,"Polomolok","PHL","Southern Mindanao",110709,125.0608405,6.224513
"598",862,"Tanza","PHL","Southern Tagalog",110517,120.8384093,14.3519672
"599",863,"Ozamis","PHL","Northern Mindanao",110420,123.7741195,8.162411
"600",864,"Mexico","PHL","Central Luzon",109481,-102.552784,23.634501
"602",866,"Silay","PHL","Western Visayas",107722,123.0875623,10.7528182
"603",867,"General Trias","PHL","Southern Tagalog",107691,120.907304,14.3214094
"604",868,"Tabaco","PHL","Bicol",107166,123.645139,13.3240963
"605",869,"Cabuyao","PHL","Southern Tagalog",106630,121.1366715,14.2471423
"606",870,"Calapan","PHL","Southern Tagalog",105910,121.1645706,13.3770935
"610",874,"Gingoog","PHL","Northern Mindanao",102379,125.0976355,8.8229902
"611",875,"Dumaguete","PHL","Central Visayas",102265,123.3054467,9.3068402
"612",876,"San Fernando","PHL","Ilocos",102082,-118.4389719,34.2819461
"613",877,"Arayat","PHL","Central Luzon",101792,120.7425034,15.205215
"614",878,"Bayawan (Tulong)","PHL","Central Visayas",101391,122.8535755,9.4498906
"615",879,"Kidapawan","PHL","Central Mindanao",101205,125.0911341,7.010607
"616",880,"Daraga (Locsin)","PHL","Bicol",101031,123.6958809,13.1028156
"617",881,"Marilao","PHL","Central Luzon",101017,120.9704234,14.7728024
"618",882,"Malita","PHL","Southern Mindanao",1e+05,125.5815927,6.3843023
"619",883,"Dipolog","PHL","Western Mindanao",99862,123.3373916,8.5142736
"620",884,"Cavite","PHL","Southern Tagalog",99367,120.8785658,14.2456329
"621",885,"Danao","PHL","Central Visayas",98781,123.9527031,10.5417498
"622",886,"Bislig","PHL","Caraga",97860,126.2847751,8.2100558
"623",887,"Talavera","PHL","Central Luzon",97329,-98.506788,29.60578
"624",888,"Guagua","PHL","Central Luzon",96858,120.612406,14.9763617
"625",889,"Bayambang","PHL","Ilocos",96609,120.4127161,15.8007665
"626",890,"Nasugbu","PHL","Southern Tagalog",96113,120.6890055,14.0940383
"627",891,"Baybay","PHL","Eastern Visayas",95630,124.8525626,10.6521412
"628",892,"Capas","PHL","Central Luzon",95219,120.59045,15.333524
"629",893,"Sultan Kudarat","PHL","ARMM",94861,124.4198243,6.5069401
"630",894,"Laoag","PHL","Ilocos",94466,120.5926679,18.1960128
"631",895,"Bayugan","PHL","Caraga",93623,125.7480952,8.7143526
"632",896,"Malungon","PHL","Southern Mindanao",93232,125.2587964,6.3343032
